"","Country.Name","Fiscal.Freedom","Business.Freedom","Labor.Freedom","Monetary.Freedom","Trade.Freedom","Investment.Freedom","Financial.Freedom","Population..Millions.","GDP..Billions..PPP.","FDI.Inflow..Millions.","Conflicts","Security...Safety","Domestic.Movement","Foreign.Movement","Religion","Establishing.and.Operating.Political.Parties","Operating.Educational","Political.Pressures.and.Controls.on.Media.Content","Parental.Authority..In.Marriage","Transfers.and.subsidies","Government.enterprises.and.investment","Protection.of.property.rights","Money.growth","Labor.market.regulations","Hiring.and.firing.regulations","Starting.a..business","Business.regulations","Laws.and.Regulations.that.Influence.Media.Content","Women.s.Security...Safety","Criminal.Justice","Unemployment...."
"1","Albania","87,8","67,6","51,5","81,7","87,6","70","70","2,8","$31,6 ","1.093,5","10","0","0","10","7","0","8","0","2","0",NA,"0","10","6","12","15","23","10","0","7","16,1"
"2","Algeria","81,0","62,1","48,2","68,1","60,8","30","30","38,7","$551,8 ","1.488,0","1","0","0","0","0","5","5","3","5","5","5","2","5","7","8","0","0","9","10",NA,"9,5"
"3","Angola","87,8","50,3","44,8","72,2","70,2","40","40","24,4","$175,6 ","-3.881,0","0","0","0","0","0","8","5","7","2","7","4","2","5","54","9","0","0","9","10",NA,"6,8"
"4","Argentina","66,1","56","43,9","44,0","67,4","30","30","42,0","$947,6 ","6.612,0","10","0","0","10","10","0","0","5","8","5",NA,"0","10","0","21","","0","7","0","1","8,2"
"5","Armenia","83,8","77,5","62,2","72,8","85,6","80","70","3,3","$24,3 ","382,8","0","9","0","3","0","8","5","5","7","7","6","3","5","15","7","0","0","6","9",NA,"17,1"
"6","Australia","63,2","89,4","77,2","85,2","86,4","80","90","23,6","$1.095,4 ","51.854,2","10","0","0","10","10","0","9","0","1","0",NA,"0","10","7","24","14","47","10","0","4","6,0"
"7","Austria","50,7","79,4","72,5","81,7","88","90","70","8,5","$395,5 ","4.674,9","10","0","0","10","10","0","9","0","9","0",NA,"0","10","8","27","13","55","10","0","0","5,0"
"8","Azerbaijan","88,0","70,3","75,2","77,0","75,8","60","50","9,4","$165,3 ","4.430,4","4","0","0","1","0","8","5","5","5","2","3","0","5","77","9","0","0","4","10",NA,"5,2"
"9","Bahamas","97,9","70,7","72,8","78,5","64","40","60","0,4","$9,0 ","1.595,9","10","0","10","0",NA,"10","0",NA,NA,"8","7","10","0","10","3","7","1",NA,"0","9","15,4"
"10","Bahrain","99,9","71,9","79,1","74,6","82,6","70","80","1,2","$61,9 ","957,4","0","7","1","4","0","5","5","4","0","10","5","0","5","1","2","0","17","4","9",NA,"4,1"
"11","Bangladesh","72,7","52,6","62,5","68,2","63,6","45","30","158,2","$533,7 ","1.526,7","9","0","5","9","7","0","6","5","9","5",NA,"9","7","5","7","22","30","7","8","3","4,3"
"12","Barbados","75,8","70,2","67,3","80,8","62,2","75","60","0,3","$4,5 ","275,1","10","0","10","0",NA,"10","0",NA,NA,"9","7","10","0","1","6","9","8",NA,"0","7","12,0"
"13","Belarus","88,6","69","74,9","50,4","79","20","10","9,5","$172,0 ","1.798,2","10","0","0","10","10","0","2","5","2","5",NA,"0","5","8","22","12","13","2","0","5","5,9"
"14","Belgium","44,2","85,4","60,5","84,0","88","85","70","11,2","$481,5 ","-4.956,7","10","3","2","5","10","0","3","0","1","0",NA,"0","10","8","31","9","50-55","10","9","7","8,5"
"15","Belize","82,1","63,3","60,3","79,2","70","55","50","0,4","$2,9 ","141,1","10","0","10","0","0","10","10","9",NA,"10","0","5","0","0","9","7",NA,"5","0","8","11,5"
